application_id,as_of_date,gross_annual,bureau_score,existing_credit_monthly,file_age_months,delinquencies_24m,delinquency_recency_months,amount,term_months,income_verified,employment,title,age_band,employer_name,postcode_district,tenure_months,dependants,purpose
APP000011,2026-03-31,44499.0,800.0,528.0,144.0,0.0,0.0,12849.0,48.0,Yes,permanent,Dr,55-64,Ashby Group,G12,8.0,0.0,debt_consolidation
APP000012,2026-03-31,37242.0,805.0,213.0,96.0,0.0,0.0,26634.0,48.0,Yes,permanent,Ms,25-34,Harrow Estates,BS7,73.0,1.0,home_improvement
APP000013,2026-03-31,42842.0,803.0,258.0,88.0,0.0,0.0,29095.0,36.0,Yes,permanent,Dr,25-34,Kestrel Systems,L17,180.0,0.0,vehicle
APP000014,2026-03-31,51991.0,737.0,343.0,136.0,0.0,0.0,19442.0,36.0,Yes,permanent,Mr,18-24,Northgate Retail,L17,141.0,0.0,vehicle
APP000015,2026-03-31,27411.0,630.0,602.0,108.0,1.0,10.0,8602.0,60.0,Yes,self_employed,Ms,25-34,Meridian Health,B15,154.0,2.0,home_improvement
APP000016,2026-03-31,26508.0,674.0,371.0,108.0,2.0,10.0,26981.0,60.0,Yes,self_employed,Mr,18-24,Meridian Health,M14,165.0,2.0,debt_consolidation
APP000017,2026-03-31,25241.0,468.0,836.0,6.0,1.0,17.0,14742.0,60.0,No,contract,Ms,35-44,Harrow Estates,LS6,42.0,3.0,vehicle
APP000018,2026-03-31,25360.0,551.0,593.0,46.0,0.0,0.0,13142.0,24.0,Yes,contract,Dr,35-44,Meridian Health,LS6,118.0,2.0,other
APP000019,2026-03-31,33565.0,685.0,339.0,109.0,0.0,0.0,16851.0,36.0,Yes,permanent,Dr,18-24,Solent Marine,G12,77.0,2.0,vehicle
APP000020,2026-03-31,13544.0,519.0,701.0,8.0,2.0,20.0,11948.0,60.0,Yes,permanent,Ms,55-64,Kestrel Systems,NE2,67.0,3.0,vehicle
APP000021,2026-03-31,65085.0,785.0,184.0,128.0,0.0,0.0,24028.0,24.0,Yes,self_employed,Mr,45-54,Ashby Group,L17,137.0,2.0,vehicle
APP000022,2026-03-31,63625.0,787.0,52.0,175.0,0.0,0.0,21818.0,60.0,Yes,permanent,Mr,35-44,Meridian Health,LS6,102.0,2.0,debt_consolidation
APP000023,2026-03-31,32848.0,762.0,550.0,125.0,0.0,0.0,25134.0,60.0,No,permanent,Dr,55-64,Harrow Estates,LS6,113.0,2.0,debt_consolidation
APP000024,2026-03-31,56653.0,847.0,0.0,115.0,0.0,0.0,20353.0,60.0,Yes,permanent,Ms,35-44,Kestrel Systems,M14,51.0,1.0,home_improvement
APP000025,2026-03-31,38215.0,790.0,344.0,72.0,0.0,0.0,10040.0,48.0,Yes,permanent,Mr,25-34,Harrow Estates,BS7,169.0,0.0,vehicle
APP000026,2026-03-31,33336.0,732.0,514.0,34.0,1.0,17.0,14803.0,48.0,Yes,permanent,Mrs,45-54,Calder Logistics,B15,119.0,3.0,debt_consolidation
APP000027,2026-03-31,36680.0,705.0,247.0,80.0,0.0,0.0,22565.0,36.0,Yes,contract,Ms,65+,Kestrel Systems,CF24,114.0,3.0,home_improvement
APP000028,2026-03-31,24951.0,608.0,413.0,44.0,0.0,0.0,12948.0,48.0,No,self_employed,Ms,18-24,Northgate Retail,B15,137.0,1.0,vehicle
APP000029,2026-03-31,33641.0,719.0,348.0,96.0,1.0,6.0,37900.0,60.0,No,permanent,Dr,35-44,Kestrel Systems,B15,165.0,0.0,debt_consolidation
APP000030,2026-03-31,26679.0,629.0,446.0,74.0,0.0,0.0,14183.0,48.0,No,permanent,Mrs,25-34,Kestrel Systems,BS7,34.0,2.0,debt_consolidation
APP000031,2026-03-31,26505.0,726.0,364.0,89.0,0.0,0.0,11602.0,24.0,Yes,contract,Mr,55-64,Northgate Retail,CF24,50.0,0.0,other
APP000032,2026-03-31,40502.0,683.0,300.0,115.0,0.0,0.0,24617.0,48.0,Yes,permanent,Dr,25-34,Meridian Health,B15,175.0,0.0,home_improvement
APP000033,2026-03-31,46959.0,797.0,319.0,121.0,0.0,0.0,21608.0,24.0,No,permanent,Ms,45-54,Fenwick & Co,B15,122.0,0.0,debt_consolidation
APP000034,2026-03-31,49755.0,861.0,102.0,149.0,0.0,0.0,15791.0,36.0,Yes,permanent,Mr,25-34,Harrow Estates,M14,160.0,0.0,debt_consolidation
APP000035,2026-03-31,24889.0,649.0,413.0,59.0,0.0,0.0,14273.0,36.0,Yes,contract,Dr,45-54,Meridian Health,M14,62.0,1.0,home_improvement
APP000036,2026-03-31,49677.0,801.0,0.0,230.0,0.0,0.0,19199.0,60.0,Yes,self_employed,Ms,45-54,Ashby Group,CF24,178.0,1.0,debt_consolidation
APP000037,2026-03-31,22295.0,700.0,367.0,135.0,0.0,0.0,22266.0,36.0,Yes,permanent,Mrs,45-54,Meridian Health,B15,79.0,2.0,vehicle
APP000038,2026-03-31,60275.0,744.0,201.0,125.0,0.0,0.0,21720.0,60.0,Yes,contract,Mrs,18-24,Ashby Group,G12,145.0,0.0,home_improvement
APP000039,2026-03-31,23723.0,570.0,462.0,18.0,0.0,0.0,13738.0,60.0,Yes,permanent,Mr,35-44,Ashby Group,NE2,164.0,1.0,other
APP000040,2026-03-31,59558.0,853.0,343.0,137.0,0.0,0.0,19239.0,48.0,Yes,permanent,Dr,25-34,Fenwick & Co,L17,95.0,2.0,home_improvement
APP000041,2026-03-31,51463.0,837.0,357.0,61.0,0.0,0.0,22330.0,36.0,Yes,self_employed,Ms,25-34,Fenwick & Co,M14,77.0,2.0,debt_consolidation
APP000042,2026-03-31,22154.0,642.0,126.0,26.0,1.0,21.0,21737.0,60.0,Yes,permanent,Mr,25-34,Ashby Group,L17,91.0,1.0,vehicle
APP000043,2026-03-31,16743.0,651.0,386.0,56.0,0.0,0.0,2000.0,60.0,Yes,permanent,Ms,25-34,Northgate Retail,B15,26.0,2.0,other
APP000044,2026-03-31,15922.0,652.0,316.0,75.0,0.0,0.0,9323.0,36.0,Yes,self_employed,Mr,55-64,Northgate Retail,BS7,16.0,3.0,debt_consolidation
APP000045,2026-03-31,20793.0,667.0,529.0,65.0,0.0,0.0,10181.0,36.0,Yes,permanent,Dr,35-44,Northgate Retail,LS6,170.0,0.0,debt_consolidation
APP000046,2026-03-31,25587.0,715.0,728.0,54.0,0.0,0.0,14273.0,60.0,Yes,contract,Mrs,25-34,Fenwick & Co,NE2,118.0,1.0,debt_consolidation
APP000047,2026-03-31,52542.0,804.0,107.0,110.0,0.0,0.0,17343.0,60.0,Yes,permanent,Ms,35-44,Ashby Group,NE2,18.0,2.0,home_improvement
APP000048,2026-03-31,15385.0,693.0,390.0,43.0,0.0,0.0,22911.0,60.0,Yes,permanent,Mrs,18-24,Ashby Group,M14,107.0,1.0,other
APP000049,2026-03-31,31329.0,707.0,345.0,76.0,1.0,13.0,20633.0,48.0,Yes,self_employed,Mrs,25-34,Calder Logistics,BS7,47.0,3.0,vehicle
APP000050,2026-03-31,11730.0,598.0,569.0,42.0,0.0,0.0,15048.0,60.0,Yes,self_employed,Mrs,35-44,Solent Marine,M14,152.0,1.0,debt_consolidation
APP000051,2026-03-31,40022.0,721.0,350.0,144.0,0.0,0.0,16174.0,60.0,Yes,contract,Mr,45-54,Harrow Estates,B15,67.0,1.0,vehicle
APP000052,2026-03-31,28255.0,609.0,560.0,59.0,0.0,0.0,29193.0,60.0,Yes,permanent,Mr,35-44,Solent Marine,CF24,6.0,0.0,debt_consolidation
APP000053,2026-03-31,49867.0,773.0,42.0,182.0,0.0,0.0,11404.0,36.0,Yes,permanent,Mx,65+,Ashby Group,G12,121.0,0.0,vehicle
APP000054,2026-03-31,37503.0,678.0,480.0,118.0,0.0,0.0,18284.0,60.0,Yes,permanent,Mx,65+,Kestrel Systems,CF24,179.0,0.0,vehicle
APP000055,2026-03-31,34330.0,732.0,130.0,110.0,0.0,0.0,27741.0,48.0,Yes,permanent,Mr,55-64,Kestrel Systems,G12,133.0,1.0,vehicle
APP000056,2026-03-31,47835.0,752.0,219.0,90.0,0.0,0.0,18594.0,60.0,Yes,contract,Ms,35-44,Kestrel Systems,BS7,173.0,3.0,debt_consolidation
APP000057,2026-03-31,10557.0,626.0,682.0,9.0,0.0,0.0,2000.0,24.0,No,permanent,Ms,45-54,Solent Marine,G12,21.0,3.0,other
APP000058,2026-03-31,37799.0,757.0,360.0,132.0,0.0,0.0,18812.0,48.0,Yes,self_employed,Mr,25-34,Calder Logistics,BS7,55.0,2.0,vehicle
APP000059,2026-03-31,29550.0,501.0,559.0,70.0,1.0,13.0,13095.0,60.0,Yes,permanent,Dr,55-64,Fenwick & Co,LS6,140.0,0.0,vehicle
APP000060,2026-03-31,42467.0,647.0,282.0,84.0,0.0,0.0,15152.0,24.0,Yes,contract,Ms,25-34,Fenwick & Co,NE2,85.0,2.0,home_improvement
APP000061,2026-03-31,37988.0,641.0,315.0,101.0,0.0,0.0,23883.0,36.0,Yes,permanent,Mrs,65+,Ashby Group,B15,35.0,0.0,debt_consolidation
APP000062,2026-03-31,33799.0,712.0,373.0,66.0,0.0,0.0,19522.0,36.0,Yes,permanent,Ms,18-24,Meridian Health,L17,64.0,1.0,vehicle
APP000063,2026-03-31,24400.0,753.0,541.0,67.0,0.0,0.0,14020.0,60.0,Yes,contract,Mr,45-54,Calder Logistics,M14,54.0,1.0,debt_consolidation
APP000064,2026-03-31,61811.0,828.0,0.0,130.0,0.0,0.0,22690.0,60.0,Yes,permanent,Mr,35-44,Harrow Estates,BS7,128.0,0.0,vehicle
APP000065,2026-03-31,37618.0,723.0,325.0,139.0,0.0,0.0,19265.0,48.0,Yes,self_employed,Mr,45-54,Solent Marine,M14,140.0,2.0,other
APP000066,2026-03-31,37532.0,800.0,345.0,120.0,0.0,0.0,16789.0,36.0,Yes,contract,Ms,35-44,Kestrel Systems,BS7,133.0,2.0,debt_consolidation
APP000067,2026-03-31,36020.0,674.0,338.0,103.0,0.0,0.0,18258.0,60.0,Yes,permanent,Ms,55-64,Ashby Group,M14,121.0,2.0,debt_consolidation
APP000068,2026-03-31,52625.0,855.0,245.0,140.0,0.0,0.0,17898.0,60.0,Yes,permanent,Dr,45-54,Solent Marine,NE2,135.0,1.0,debt_consolidation
APP000069,2026-03-31,14041.0,533.0,903.0,45.0,3.0,12.0,13454.0,48.0,Yes,permanent,Dr,45-54,Kestrel Systems,M14,166.0,2.0,vehicle
APP000070,2026-03-31,51430.0,675.0,248.0,160.0,0.0,0.0,12557.0,36.0,No,self_employed,Mrs,65+,Fenwick & Co,BS7,50.0,2.0,home_improvement
APP000071,2026-03-31,21625.0,792.0,500.0,53.0,1.0,6.0,16189.0,48.0,Yes,permanent,Ms,25-34,Calder Logistics,CF24,52.0,2.0,home_improvement
APP000072,2026-03-31,35459.0,804.0,339.0,161.0,0.0,0.0,8843.0,60.0,No,permanent,Mr,55-64,Fenwick & Co,M14,177.0,0.0,vehicle
APP000073,2026-03-31,37508.0,579.0,771.0,56.0,0.0,0.0,6558.0,36.0,Yes,permanent,Mrs,35-44,Meridian Health,BS7,159.0,0.0,debt_consolidation
APP000074,2026-03-31,28527.0,688.0,114.0,78.0,0.0,0.0,25757.0,60.0,Yes,self_employed,Mr,45-54,Fenwick & Co,G12,121.0,0.0,vehicle
APP000075,2026-03-31,50377.0,783.0,359.0,194.0,0.0,0.0,14202.0,60.0,No,self_employed,Mrs,45-54,Northgate Retail,BS7,143.0,0.0,vehicle
APP000076,2026-03-31,25620.0,626.0,483.0,79.0,1.0,21.0,15820.0,48.0,Yes,permanent,Mrs,35-44,Solent Marine,BS7,117.0,2.0,debt_consolidation
APP000077,2026-03-31,21815.0,499.0,651.0,25.0,2.0,21.0,14987.0,48.0,Yes,permanent,Mr,35-44,Harrow Estates,M14,58.0,1.0,other
APP000078,2026-03-31,14426.0,593.0,384.0,64.0,0.0,0.0,16176.0,24.0,Yes,contract,Mrs,65+,Calder Logistics,M14,103.0,3.0,home_improvement
APP000079,2026-03-31,27591.0,701.0,118.0,46.0,1.0,6.0,16170.0,24.0,Yes,permanent,Mr,35-44,Harrow Estates,NE2,46.0,1.0,vehicle
APP000080,2026-03-31,58244.0,801.0,127.0,131.0,0.0,0.0,16488.0,60.0,No,self_employed,Mr,55-64,Ashby Group,BS7,20.0,0.0,debt_consolidation
APP000081,2026-03-31,53835.0,842.0,84.0,82.0,0.0,0.0,9963.0,24.0,Yes,self_employed,Dr,18-24,Solent Marine,CF24,63.0,0.0,vehicle
APP000082,2026-03-31,17829.0,564.0,759.0,65.0,0.0,0.0,22990.0,48.0,No,contract,Mrs,35-44,Northgate Retail,L17,146.0,3.0,debt_consolidation
APP000083,2026-03-31,39567.0,780.0,174.0,21.0,0.0,0.0,10809.0,36.0,Yes,self_employed,Mx,45-54,Meridian Health,M14,28.0,0.0,vehicle
APP000084,2026-03-31,47391.0,762.0,380.0,170.0,0.0,0.0,23762.0,60.0,Yes,permanent,Dr,35-44,Northgate Retail,BS7,11.0,2.0,debt_consolidation
APP000085,2026-03-31,22563.0,633.0,558.0,23.0,0.0,0.0,2000.0,60.0,Yes,self_employed,Mr,25-34,Ashby Group,G12,45.0,1.0,vehicle
APP000086,2026-03-31,25464.0,601.0,345.0,49.0,0.0,0.0,8039.0,36.0,Yes,permanent,Mrs,45-54,Calder Logistics,LS6,142.0,0.0,vehicle
APP000087,2026-03-31,39134.0,628.0,281.0,72.0,0.0,0.0,23441.0,48.0,No,permanent,Ms,45-54,Harrow Estates,LS6,159.0,1.0,other
APP000088,2026-03-31,24727.0,794.0,150.0,118.0,0.0,0.0,14889.0,36.0,Yes,permanent,Mr,35-44,Fenwick & Co,LS6,51.0,0.0,vehicle
APP000089,2026-03-31,33443.0,698.0,102.0,128.0,0.0,0.0,10967.0,24.0,Yes,contract,Mr,25-34,Harrow Estates,B15,173.0,2.0,home_improvement
APP000090,2026-03-31,34402.0,760.0,184.0,163.0,0.0,0.0,18814.0,60.0,Yes,permanent,Mr,55-64,Fenwick & Co,B15,88.0,3.0,debt_consolidation
APP000091,2026-03-31,56512.0,789.0,181.0,161.0,0.0,0.0,8159.0,60.0,Yes,permanent,Ms,45-54,Harrow Estates,CF24,125.0,2.0,vehicle
APP000092,2026-03-31,26123.0,578.0,495.0,74.0,0.0,0.0,16577.0,60.0,Yes,permanent,Mrs,55-64,Fenwick & Co,M14,121.0,2.0,debt_consolidation
APP000093,2026-03-31,47487.0,723.0,62.0,92.0,0.0,0.0,2000.0,36.0,Yes,contract,Mx,45-54,Harrow Estates,G12,82.0,2.0,other
APP000094,2026-03-31,18297.0,659.0,343.0,99.0,0.0,0.0,12607.0,60.0,No,permanent,Mr,25-34,Fenwick & Co,CF24,152.0,2.0,other
APP000095,2026-03-31,43103.0,718.0,135.0,115.0,0.0,0.0,11126.0,24.0,Yes,permanent,Mrs,35-44,Calder Logistics,M14,162.0,0.0,debt_consolidation
APP000096,2026-03-31,27006.0,713.0,402.0,64.0,0.0,0.0,20047.0,48.0,No,self_employed,Mr,35-44,Calder Logistics,CF24,86.0,1.0,vehicle
APP000097,2026-03-31,47474.0,819.0,441.0,147.0,1.0,8.0,22568.0,24.0,Yes,self_employed,Mr,35-44,Ashby Group,CF24,56.0,2.0,debt_consolidation
APP000098,2026-03-31,41669.0,714.0,348.0,108.0,0.0,0.0,9591.0,60.0,Yes,self_employed,Mrs,35-44,Ashby Group,BS7,169.0,0.0,vehicle
APP000099,2026-03-31,45743.0,754.0,136.0,156.0,0.0,0.0,28067.0,48.0,Yes,self_employed,Ms,45-54,Solent Marine,LS6,127.0,1.0,other
APP000100,2026-03-31,37877.0,804.0,0.0,162.0,0.0,0.0,11560.0,60.0,Yes,contract,Dr,65+,Northgate Retail,NE2,67.0,1.0,debt_consolidation
APP000101,2026-03-31,14483.0,557.0,492.0,13.0,2.0,22.0,2000.0,60.0,Yes,permanent,Mr,35-44,Kestrel Systems,M14,32.0,2.0,home_improvement
APP000102,2026-03-31,18815.0,724.0,144.0,56.0,0.0,0.0,2000.0,60.0,Yes,permanent,Mr,35-44,Calder Logistics,NE2,73.0,2.0,vehicle
APP000103,2026-03-31,33587.0,850.0,362.0,132.0,0.0,0.0,27542.0,48.0,Yes,contract,Mx,35-44,Harrow Estates,L17,82.0,1.0,other
APP000104,2026-03-31,31527.0,716.0,273.0,27.0,0.0,0.0,15343.0,24.0,Yes,permanent,Mx,35-44,Calder Logistics,NE2,147.0,0.0,vehicle
APP000105,2026-03-31,24122.0,621.0,529.0,29.0,0.0,0.0,11145.0,60.0,Yes,permanent,Mr,35-44,Northgate Retail,BS7,127.0,0.0,home_improvement
APP000106,2026-03-31,48791.0,731.0,173.0,157.0,0.0,0.0,10391.0,36.0,Yes,contract,Mr,45-54,Northgate Retail,B15,93.0,3.0,vehicle
APP000107,2026-03-31,27642.0,645.0,393.0,6.0,2.0,4.0,7808.0,24.0,No,permanent,Ms,45-54,Calder Logistics,B15,164.0,2.0,home_improvement
APP000108,2026-03-31,18573.0,643.0,576.0,57.0,0.0,0.0,26142.0,24.0,Yes,self_employed,Mr,45-54,Fenwick & Co,L17,107.0,2.0,home_improvement
APP000109,2026-03-31,32859.0,696.0,164.0,131.0,0.0,0.0,15371.0,60.0,Yes,permanent,Ms,25-34,Kestrel Systems,CF24,156.0,0.0,vehicle
APP000110,2026-03-31,22748.0,664.0,332.0,28.0,2.0,20.0,29427.0,24.0,Yes,permanent,Mrs,45-54,Ashby Group,B15,14.0,0.0,debt_consolidation
APP000111,2026-03-31,13719.0,604.0,407.0,126.0,0.0,0.0,14507.0,36.0,Yes,permanent,Mrs,35-44,Calder Logistics,NE2,17.0,0.0,vehicle
APP000112,2026-03-31,24960.0,653.0,642.0,6.0,2.0,11.0,2000.0,24.0,Yes,permanent,Mr,55-64,Ashby Group,LS6,155.0,0.0,home_improvement
APP000113,2026-03-31,47612.0,775.0,36.0,193.0,0.0,0.0,22333.0,60.0,Yes,permanent,Mr,35-44,Kestrel Systems,B15,133.0,2.0,home_improvement
APP000114,2026-03-31,9000.0,553.0,531.0,75.0,3.0,22.0,13239.0,48.0,Yes,permanent,Mr,45-54,Ashby Group,M14,49.0,3.0,vehicle
APP000115,2026-03-31,56739.0,741.0,0.0,177.0,0.0,0.0,14222.0,60.0,Yes,self_employed,Mrs,45-54,Fenwick & Co,NE2,24.0,0.0,vehicle
APP000116,2026-03-31,28242.0,750.0,183.0,71.0,0.0,0.0,27755.0,48.0,Yes,permanent,Mr,25-34,Kestrel Systems,CF24,16.0,2.0,debt_consolidation
APP000117,2026-03-31,24426.0,643.0,586.0,59.0,1.0,8.0,14025.0,48.0,No,permanent,Dr,18-24,Northgate Retail,CF24,60.0,1.0,debt_consolidation
APP000118,2026-03-31,52719.0,867.0,540.0,123.0,0.0,0.0,24715.0,60.0,Yes,contract,Mr,45-54,Ashby Group,CF24,160.0,2.0,vehicle
APP000119,2026-03-31,42295.0,771.0,121.0,134.0,0.0,0.0,15963.0,60.0,Yes,permanent,Ms,18-24,Calder Logistics,NE2,37.0,0.0,vehicle
APP000120,2026-03-31,22259.0,685.0,653.0,14.0,0.0,0.0,10360.0,48.0,Yes,permanent,Mrs,55-64,Harrow Estates,LS6,47.0,0.0,home_improvement
APP000121,2026-03-31,60406.0,782.0,215.0,142.0,0.0,0.0,19805.0,36.0,Yes,self_employed,Dr,45-54,Ashby Group,L17,150.0,0.0,vehicle
APP000122,2026-03-31,31890.0,711.0,226.0,108.0,0.0,0.0,11495.0,36.0,Yes,permanent,Ms,35-44,Kestrel Systems,BS7,36.0,3.0,vehicle
APP000123,2026-03-31,24666.0,736.0,481.0,15.0,0.0,0.0,25212.0,24.0,No,permanent,Mx,45-54,Ashby Group,L17,45.0,2.0,debt_consolidation
APP000124,2026-03-31,31787.0,630.0,347.0,67.0,0.0,0.0,23199.0,60.0,No,contract,Ms,25-34,Calder Logistics,NE2,135.0,2.0,home_improvement
APP000125,2026-03-31,19095.0,730.0,283.0,83.0,0.0,0.0,16471.0,36.0,Yes,contract,Mr,45-54,Kestrel Systems,CF24,155.0,2.0,debt_consolidation
APP000126,2026-03-31,36880.0,809.0,530.0,70.0,0.0,0.0,20574.0,60.0,Yes,self_employed,Ms,55-64,Meridian Health,LS6,170.0,1.0,vehicle
APP000127,2026-03-31,50237.0,810.0,0.0,185.0,0.0,0.0,20235.0,48.0,Yes,permanent,Ms,18-24,Northgate Retail,LS6,11.0,3.0,debt_consolidation
APP000128,2026-03-31,39411.0,770.0,313.0,120.0,0.0,0.0,13933.0,60.0,Yes,permanent,Ms,55-64,Solent Marine,CF24,61.0,2.0,other
APP000129,2026-03-31,42761.0,846.0,226.0,105.0,0.0,0.0,22714.0,48.0,Yes,permanent,Mrs,25-34,Calder Logistics,B15,111.0,2.0,debt_consolidation
APP000130,2026-03-31,49112.0,710.0,179.0,109.0,1.0,19.0,14295.0,24.0,Yes,permanent,Ms,35-44,Harrow Estates,BS7,62.0,0.0,vehicle
APP000131,2026-03-31,17710.0,579.0,711.0,6.0,2.0,19.0,20622.0,60.0,Yes,permanent,Ms,55-64,Meridian Health,G12,134.0,0.0,home_improvement
APP000132,2026-03-31,20763.0,644.0,503.0,58.0,0.0,0.0,8872.0,48.0,Yes,permanent,Ms,45-54,Harrow Estates,CF24,43.0,3.0,debt_consolidation
APP000133,2026-03-31,26380.0,709.0,281.0,112.0,0.0,0.0,16765.0,36.0,Yes,permanent,Ms,35-44,Meridian Health,NE2,110.0,3.0,vehicle
APP000134,2026-03-31,36087.0,711.0,318.0,89.0,0.0,0.0,19121.0,60.0,Yes,permanent,Mr,65+,Meridian Health,L17,32.0,0.0,vehicle
APP000135,2026-03-31,16390.0,555.0,787.0,57.0,1.0,20.0,10087.0,36.0,Yes,permanent,Mr,18-24,Kestrel Systems,B15,30.0,0.0,other
APP000136,2026-03-31,33116.0,744.0,0.0,89.0,0.0,0.0,12893.0,48.0,Yes,permanent,Ms,45-54,Meridian Health,CF24,144.0,0.0,debt_consolidation
APP000137,2026-03-31,17626.0,580.0,897.0,57.0,1.0,19.0,12017.0,60.0,Yes,permanent,Mrs,35-44,Ashby Group,NE2,114.0,2.0,debt_consolidation
APP000138,2026-03-31,24640.0,620.0,699.0,77.0,0.0,0.0,21480.0,36.0,Yes,contract,Ms,55-64,Meridian Health,G12,103.0,2.0,vehicle
APP000139,2026-03-31,32751.0,766.0,517.0,104.0,0.0,0.0,10624.0,48.0,Yes,permanent,Mrs,18-24,Northgate Retail,BS7,70.0,0.0,home_improvement
APP000140,2026-03-31,17073.0,672.0,662.0,32.0,2.0,15.0,19313.0,60.0,Yes,self_employed,Ms,25-34,Meridian Health,G12,122.0,1.0,vehicle
APP000141,2026-03-31,28738.0,712.0,183.0,63.0,0.0,0.0,27466.0,60.0,Yes,permanent,Ms,35-44,Harrow Estates,BS7,172.0,2.0,debt_consolidation
APP000142,2026-03-31,35656.0,666.0,363.0,43.0,1.0,14.0,18709.0,48.0,Yes,permanent,Mr,18-24,Meridian Health,M14,69.0,3.0,vehicle
APP000143,2026-03-31,55487.0,734.0,146.0,127.0,1.0,13.0,3948.0,24.0,No,self_employed,Mrs,45-54,Kestrel Systems,NE2,11.0,0.0,debt_consolidation
APP000144,2026-03-31,15148.0,646.0,438.0,76.0,0.0,0.0,16983.0,24.0,Yes,permanent,Dr,55-64,Northgate Retail,G12,49.0,2.0,home_improvement
APP000145,2026-03-31,34841.0,756.0,395.0,174.0,0.0,0.0,23849.0,36.0,Yes,self_employed,Mrs,55-64,Ashby Group,BS7,141.0,3.0,debt_consolidation
APP000146,2026-03-31,11289.0,489.0,577.0,67.0,0.0,0.0,13900.0,36.0,Yes,permanent,Mr,25-34,Ashby Group,CF24,56.0,2.0,other
APP000147,2026-03-31,57333.0,824.0,162.0,157.0,0.0,0.0,24368.0,48.0,Yes,self_employed,Mrs,35-44,Ashby Group,G12,137.0,0.0,vehicle
APP000148,2026-03-31,30193.0,864.0,0.0,104.0,0.0,0.0,20687.0,60.0,Yes,permanent,Ms,65+,Calder Logistics,CF24,39.0,0.0,debt_consolidation
APP000149,2026-03-31,25706.0,601.0,358.0,90.0,0.0,0.0,19212.0,60.0,Yes,permanent,Dr,18-24,Northgate Retail,NE2,109.0,2.0,debt_consolidation
APP000150,2026-03-31,16799.0,604.0,703.0,27.0,1.0,5.0,14096.0,36.0,Yes,permanent,Mr,45-54,Northgate Retail,M14,68.0,1.0,debt_consolidation
APP000151,2026-03-31,31345.0,754.0,161.0,154.0,1.0,11.0,12215.0,36.0,Yes,permanent,Mrs,25-34,Solent Marine,CF24,97.0,1.0,debt_consolidation
APP000152,2026-03-31,15490.0,617.0,419.0,76.0,2.0,10.0,14140.0,60.0,No,permanent,Ms,55-64,Solent Marine,L17,69.0,0.0,other
APP000153,2026-03-31,25766.0,740.0,644.0,53.0,1.0,7.0,16536.0,60.0,No,permanent,Mx,35-44,Kestrel Systems,NE2,108.0,2.0,home_improvement
APP000154,2026-03-31,14717.0,630.0,211.0,57.0,2.0,22.0,19989.0,36.0,No,permanent,Ms,55-64,Solent Marine,CF24,134.0,0.0,debt_consolidation
APP000155,2026-03-31,19171.0,688.0,233.0,119.0,1.0,23.0,19223.0,36.0,Yes,permanent,Mr,18-24,Kestrel Systems,LS6,127.0,0.0,debt_consolidation
APP000156,2026-03-31,14191.0,624.0,577.0,37.0,1.0,2.0,13815.0,48.0,Yes,permanent,Mrs,35-44,Solent Marine,B15,79.0,0.0,debt_consolidation
APP000157,2026-03-31,39008.0,730.0,428.0,103.0,0.0,0.0,16565.0,36.0,No,permanent,Ms,35-44,Fenwick & Co,CF24,10.0,1.0,debt_consolidation
APP000158,2026-03-31,36737.0,720.0,554.0,146.0,0.0,0.0,18986.0,36.0,Yes,permanent,Mr,25-34,Fenwick & Co,CF24,149.0,0.0,home_improvement
